Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en;Hábitat;Migración;Cronotipo;Foto
Pato Silbón Común;NULL ;Dendrocygna bicolor;Anatidae;ANSERIFORMES;castaño - gris;mediano;palmeadas;de alta velocidad;plano;herbívoro;cuenco;7,9;formación de agua dulce;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/200.jpg
Pato Silbón pampa;Silbón de cara blanca, sirirí pampa;Dendrocygna viduata;Anatidae;ANSERIFORMES;blanco - negro - castaño rojizo;mediano;palmeadas;de alta velocidad;plano;herbívoro;cuenco;3,5,6;formación de agua dulce;Sí;crepuscular;https://www.avesdechile.cl/0jpgn/128mm3.jpg
Pato Silbón de ala blanca ;Silbón de vientre negro, cuchibibe;Dedrocygna autumnalis;Anatidae;ANSERIFORMES;pardo - castaño - gris;mediano;palmeadas;de alta velocidad;plano;herbívoro;cuenco;14;formación de agua dulce;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/332pv1.jpg
Cisne de Cuello Negro ;NULL ;Cygnus melanocoryphus;Anatidae;ANSERIFORMES;blanco - negro;grande;palmeadas;de alta velocidad;plano c/carúncula;herbívoro;cuenco;4:16;formación de agua dulce;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/050jt2.jpg
Cisne Coscoroba ;NULL ;Coscoroba coscoroba;Anatidae;ANSERIFORMES;blanco ;grande;palmeadas;de alta velocidad;plano;herbívoro;cuenco;4, 14, 16;formación de agua dulce;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/067hk1.jpg
Piuquén ;Guayata, huallata;Chloephaga melanoptera;Anatidae;ANSERIFORMES;blanco - negro;mediano - grande;palmeadas;de alta velocidad;plano;herbívoro;cuenco;1:10;humedales;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/027.jpg
Caiquén;Cauquén, kaykeñ;Chloephaga picta;Anatidae;ANSERIFORMES;pardo;mediano - grande;palmeadas;de alta velocidad;plano;herbívoro;cuenco;7:16;humedales;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/166m.jpg
Caranca;Cagüe, kage, cauquén costero ;Chloephaga hybrida ;Anatidae;ANSERIFORMES;pardo;grande;palmeadas;de alta velocidad;plano;herbívoro;cuenco;14:16;costa;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/048.jpg
Canquén ;Avutarda, kangkeñ, cauquén de cabeza gris;Chloephaga poliocephala;Anatidae;ANSERIFORMES;gris - castaño rojizo;mediano;palmeadas;de alta velocidad;plano;herbívoro;cuenco;11, 16;campo;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/046.jpg
Canquén Colorado;Avutarda de cabeza colorada;Chloephaga rubidiceps;Anatidae;ANSERIFORMES;gris - pardo rojizo;mediano;palmeadas;de alta velocidad;plano;herbívoro;cuenco;16;campo;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/237.jpg
Pato criollo ;Pato mudo;Cairina moschata;Anatidae;ANSERIFORMES;tornasol - blanco;mediano;palmeadas;de alta velocidad;plano c/carúncula;herbívoro;cuenco;6:9;campo;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/463ag1.jpg
Pato cortacorrientes;Pato correntino, pato de torrente;Merganetta armata;Anatidae;ANSERIFORMES;gris - anaranjado;mediano - pequeño;palmeadas;de alta velocidad;plano;herbívoro;cuenco;1:2, 4:16;altiplano;Sí;diurno - nocturno;https://www.avesdechile.cl/0jpgn/002a.jpg
Ñandú;Suri, Choique, Chewke, Ñandú petizo;Pterocnemia pennata;Rheidae;STRUTHIONIFORMES;blanco - gris - pardo;grande;pamprodáctilas;terrestre no voladora ;plano;omnívoro;escarbado;1, 4, 16;pampa;No;diurno - nocturno;https://www.avesdechile.cl/0jpgn/139a.jpg
Perdiz Cordillerana ;Inambú serrano grande, pisacca;Nothoprocta ornata;Tinamidae;TINAMIFORMES;gris - pardo - ocre;mediano - pequeño;lagópedo;terrestre poco voladora;insectívoro;omnívoro;escarbado;1:4;campo;No;crepuscular;https://www.avesdechile.cl/0jpgn/339ra1.jpg
Perdiz Chilena ;Füdü;Nothoprocta perdicaria;Tinamidae;TINAMIFORMES;blanco - pardo - ocre;mediano - pequeño;lagópedo;terrestre poco voladora;insectívoro;omnívoro;escarbado;4:14;campo;No;diurno;https://www.avesdechile.cl/0jpgn/064wb1.jpg
Perdiz Cordillerana de Arica ;Inambú serrano Chico;Nothoprocta pentlandii;Tinamidae;TINAMIFORMES;gris - pardo;mediano - pequeño;lagópedo;terrestre poco voladora;insectívoro;omnívoro;escarbado;1;campo;No;diurno;https://www.avesdechile.cl/0jpgn/340ht2.jpg
Perdiz Copetona;Martineta común;Eudromia elegans;Tinamidae;TINAMIFORMES;blanco - negro - gris;mediano ;lagópedo;terrestre poco voladora;insectívoro;omnívoro;escarbado;15;campo;No;diurno;https://www.avesdechile.cl/0jpgn/127.jpg
Perdiz de la Puna;Keu, Pisaca, Kiula, Quiula o Keú Andino;Tinamotis pentlandii;Tinamidae;TINAMIFORMES;blanco - negro - gris;mediano ;lagópedo;terrestre poco voladora;insectívoro;omnívoro;escarbado;4;matorral;No;diurno;https://www.avesdechile.cl/0jpgn/142ha1.jpg
