Ave;Otros nombres;Especie;Familia;Orden;Color;Tamaño;Patas;Alas;Picos;Alimentación;Nidificación;Se encuentra en:;Hábitat;Migración;Cronotipo;Foto
Pato Silbon Comun;NULL ;Dendrocygna bicolor;Anatidae;ANSERIFORMES;"castaño;gris";mediano;palmeadas;de alta velocidad;plano;herbivoro;cuenco;7,9;formacion de agua dulce;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/200.jpg
Pato Silbon Pampa;Silbon de cara blanca, siriri pampa;Dendrocygna viduata;Anatidae;ANSERIFORMES;"blanco;castaño;negro";mediano;palmeadas;de alta velocidad;plano;herbivoro;cuenco;3,5,6;formacion de agua dulce;Si;crepuscular;https://www.avesdechile.cl/0jpgn/128mm3.jpg
Pato Silbon de ala blanca ;Silbon de vientre negro, cuchibibe;Dedrocygna autumnalis;Anatidae;ANSERIFORMES;"castaño;gris;pardo";mediano;palmeadas;de alta velocidad;plano;herbivoro;cuenco;14;formacion de agua dulce;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/332pv1.jpg
Cisne de Cuello Negro ;NULL ;Cygnus melanocoryphus;Anatidae;ANSERIFORMES;"blanco;negro";grande;palmeadas;de alta velocidad;plano c/caruncula;herbivoro;cuenco;4:16;formacion de agua dulce;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/050jt2.jpg
Cisne Coscoroba ;NULL ;Coscoroba coscoroba;Anatidae;ANSERIFORMES;blanco;grande;palmeadas;de alta velocidad;plano;herbivoro;cuenco;4, 14, 16;formacion de agua dulce;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/067hk1.jpg
Piuquen ;Guayata, huallata;Chloephaga melanoptera;Anatidae;ANSERIFORMES;"blanco;negro";mediano - grande;palmeadas;de alta velocidad;plano;herbivoro;cuenco;1:10;humedales;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/027.jpg
Caiquen;Cauquén, kaykeñ;Chloephaga picta;Anatidae;ANSERIFORMES;"blanco;pardo";mediano - grande;palmeadas;de alta velocidad;plano;herbivoro;cuenco;7:16;humedales;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/166m.jpg
Caranca;Cagüe, kage, cauquén costero ;Chloephaga hybrida ;Anatidae;ANSERIFORMES;"blanco;pardo";grande;palmeadas;de alta velocidad;plano;herbivoro;cuenco;14:16;costa;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/048.jpg
Canquen ;Avutarda, kangkeñ, cauquén de cabeza gris;Chloephaga poliocephala;Anatidae;ANSERIFORMES;"castaño;gris";mediano;palmeadas;de alta velocidad;plano;herbivoro;cuenco;11, 16;campo;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/046.jpg
Canquén Colorado;Avutarda de cabeza colorada;Chloephaga rubidiceps;Anatidae;ANSERIFORMES;"gris;pardo";mediano;palmeadas;de alta velocidad;plano;herbivoro;cuenco;16;campo;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/237.jpg
Pato criollo ;Pato mudo;Cairina moschata;Anatidae;ANSERIFORMES;"blanco;tornasol";mediano;palmeadas;de alta velocidad;plano c/caruncula;herbivoro;cuenco;6:9;campo;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/463ag1.jpg
Pato cortacorrientes;Pato correntino, pato de torrente;Merganetta armata;Anatidae;ANSERIFORMES;"anaranjado;gris";mediano - pequeño;palmeadas;de alta velocidad;plano;herbívoro;cuenco;1:2, 4:16;altiplano;Si;diurno -nocturno;https://www.avesdechile.cl/0jpgn/002a.jpg
Ñandu;Suri, Choique, Chewke, Ñandú petizo;Pterocnemia pennata;Rheidae;STRUTHIONIFORMES;"blanco;gris;pardo";grande;pamprodactilas;terrestre no voladora ;plano;omnivoro;escarbado;1, 4, 16;pampa;No;diurno -nocturno;https://www.avesdechile.cl/0jpgn/139a.jpg
Perdiz Cordillerana ;Inambú serrano grande, pisacca;Nothoprocta ornata;Tinamidae;TINAMIFORMES;"gris;pardo;ocre";mediano - pequeño;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;1:4;campo;No;crepuscular;https://www.avesdechile.cl/0jpgn/339ra1.jpg
Perdiz Chilena ;Füdü;Nothoprocta perdicaria;Tinamidae;TINAMIFORMES;"blanco;pardo;ocre";mediano - pequeño;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;4:14;campo;No;diurno;https://www.avesdechile.cl/0jpgn/064wb1.jpg
Perdiz Cordillerana de Arica ;Inambú serrano Chico;Nothoprocta pentlandii;Tinamidae;TINAMIFORMES;"gris;pardo";mediano - pequeño;lagopedo;terrestre poco voladora;insectivoro;omnivoro;escarbado;1;campo;No;diurno;https://www.avesdechile.cl/0jpgn/340ht2.jpg
